windhager.UMUMLZ.1_Neubau.WWLadung.Hysterese;1/15/0/121;/1/15/0/5/0/0
windhager.UMUMLZ.1_Neubau.WWLadung.Kesselueberhoehung;1/15/0/121;/1/15/0/5/1/0
windhager.UMUMLZ.1_Neubau.WWLadung.Nachlaufzeit_1;1/15/0/121;/1/15/0/5/3/0
windhager.UMUMLZ.1_Neubau.WWLadung.Nachlaufzeit_2;1/15/0/121;/1/15/0/5/80/0
windhager.UMUMLZ.1_Neubau.unbekannt.Heizkreispumpe;1/15/0/122;/1/15/0/1/20/0
windhager.UMUMLZ.1_Neubau.unbekannt.Mischer;1/15/0/122;/1/15/0/1/21/0
windhager.UMUMLZ.1_Neubau.unbekannt.Warmwasser_Ladepumpe;1/15/0/122;/1/15/0/1/66/0
windhager.UMUMLZ.1_Neubau.unbekannt.Zirkulationspumpe;1/15/0/126;/1/15/0/5/6/0
windhager.UMUMLZ.2_Altbau.Betriebswahl.Betriebswahl;1/15/1/96;/1/15/1/3/50/0
windhager.UMUMLZ.2_Altbau.Behaglichkeit.Korrekturwert;1/15/1/97;/1/15/1/3/58/0
windhager.UMUMLZ.2_Altbau.Eco__Party.Dauer;1/15/1/99;/1/15/1/2/10/0
windhager.UMUMLZ.2_Altbau.Eco__Party.Temperatur;1/15/1/99;/1/15/1/3/4/0
windhager.UMUMLZ.2_Altbau.Ferienprogramm.bis_Datum;1/15/1/100;/1/15/1/3/78/0
windhager.UMUMLZ.2_Altbau.RaumtemperaturSollwerte.Heizbetrieb;1/15/1/101;/1/15/1/3/51/0
windhager.UMUMLZ.2_Altbau.RaumtemperaturSollwerte.Absenkbetrieb;1/15/1/101;/1/15/1/3/53/0
windhager.UMUMLZ.2_Altbau.Uhrzeit__Datum.Uhrzeit;1/15/1/102;/1/15/1/2/72/0
windhager.UMUMLZ.2_Altbau.Uhrzeit__Datum.Datum;1/15/1/102;/1/15/1/2/70/0
windhager.UMUMLZ.2_Altbau.Modulfunktionen.Heizkreis;1/15/1/103;/1/15/1/7/76/0
windhager.UMUMLZ.2_Altbau.Auslegungstemperaturen.Vorlauf;1/15/1/104;/1/15/1/3/13/0
windhager.UMUMLZ.2_Altbau.Auslegungstemperaturen.Ruecklauf;1/15/1/104;/1/15/1/3/29/0
windhager.UMUMLZ.2_Altbau.Auslegungstemperaturen.Klimapunkt;1/15/1/104;/1/15/1/3/12/0
windhager.UMUMLZ.2_Altbau.Auslegungstemperaturen.Fusspunkt;1/15/1/104;/1/15/1/3/1/0
windhager.UMUMLZ.2_Altbau.Raumtemperatureinfluss.Kompensation;1/15/1/105;/1/15/1/3/7/0
windhager.UMUMLZ.2_Altbau.Raumtemperatureinfluss.Nachstellzeit;1/15/1/105;/1/15/1/3/30/0
windhager.UMUMLZ.2_Altbau.Heizgrenzen.Vorlauf_max;1/15/1/106;/1/15/1/7/8/0
windhager.UMUMLZ.2_Altbau.Heizgrenzen.Vorlauf_min;1/15/1/106;/1/15/1/7/2/0
windhager.UMUMLZ.2_Altbau.Heizgrenzen.TA_Heizbetrieb;1/15/1/106;/1/15/1/3/21/0
windhager.UMUMLZ.2_Altbau.Heizgrenzen.TA_Absenkbetrieb;1/15/1/106;/1/15/1/3/2/0
windhager.UMUMLZ.2_Altbau.Warmwasserladung.max_Ladevorrang;1/15/1/107;/1/15/1/5/8/0
windhager.UMUMLZ.2_Altbau.KesseltempÜberhoehung.Heizkreis;1/15/1/108;/1/15/1/7/1/0
windhager.UMUMLZ.2_Altbau.Startoptimierung.Vorhaltezeit;1/15/1/109;/1/15/1/3/6/0
windhager.UMUMLZ.2_Altbau.LONSystemdaten.Aussentemp;1/15/1/110;/1/15/1/4/13/0
windhager.UMUMLZ.2_Altbau.LONSystemdaten.Betriebswahl;1/15/1/110;/1/15/1/4/14/0
windhager.UMUMLZ.2_Altbau.Estrichausheizprogramm.Programm;1/15/1/111;/1/15/1/4/60/0
windhager.UMUMLZ.2_Altbau.Estrichausheizprogramm.TAufheizphase;1/15/1/111;/1/15/1/4/65/0
windhager.UMUMLZ.2_Altbau.Estrichausheizprogramm.TAbkuehlphase;1/15/1/111;/1/15/1/4/66/0
windhager.UMUMLZ.2_Altbau.Estrichausheizprogramm.TBeharrung;1/15/1/111;/1/15/1/4/63/0
windhager.UMUMLZ.2_Altbau.Estrichausheizprogramm.Dauer_TÄnderung;1/15/1/111;/1/15/1/4/67/0
windhager.UMUMLZ.2_Altbau.Estrichausheizprogramm.Dauer_Beharrung;1/15/1/111;/1/15/1/4/64/0
windhager.UMUMLZ.2_Altbau.Modulinfo.Funktionsbezeichnung;1/15/1/112;/1/15/1/4/5/0
windhager.UMUMLZ.2_Altbau.Modulinfo.Softwareversion_Feuerungsautomat;1/15/1/112;/1/15/1/4/92/0
windhager.UMUMLZ.2_Altbau.Modulinfo.unbekannt;1/15/1/112;/1/15/1/20/127/0
windhager.UMUMLZ.2_Altbau.Modulinfo.Version_HW;1/15/1/112;/1/15/1/4/93/0
windhager.UMUMLZ.2_Altbau.Raumtemperatur.Aktueller_Wert;1/15/1/113;/1/15/1/0/1/0
windhager.UMUMLZ.2_Altbau.Raumtemperatur.Sollwert;1/15/1/113;/1/15/1/1/1/0
windhager.UMUMLZ.2_Altbau.Aussentemperatur.Aussentemperatur;1/15/1/115;/1/15/1/0/0/0
windhager.UMUMLZ.2_Altbau.Vorlauftemperatur.Aktueller_Wert;1/15/1/116;/1/15/1/0/2/0
windhager.UMUMLZ.2_Altbau.Vorlauftemperatur.Sollwert;1/15/1/116;/1/15/1/1/2/0
windhager.UMUMLZ.2_Altbau.Kesseltemperatur.Kesseltemperatur_Istwert;1/15/1/117;/1/15/1/0/7/0
windhager.UMUMLZ.2_Altbau.Kesseltemperatur.Solltemperatur;1/15/1/117;/1/15/1/1/7/0
windhager.UMUMLZ.2_Altbau.Frostschutzgrenzen.Raumtemperatur;1/15/1/119;/1/15/1/3/0/0
windhager.UMUMLZ.2_Altbau.Frostschutzgrenzen.Aussentemperatur;1/15/1/119;/1/15/1/3/23/0
windhager.UMUMLZ.2_Altbau.Frostschutzgrenzen.Vorlauftemperatur;1/15/1/119;/1/15/1/7/45/0
windhager.UMUMLZ.2_Altbau.Heizkreis.Mischerlaufzeit;1/15/1/120;/1/15/1/7/13/0
windhager.UMUMLZ.2_Altbau.Heizkreis.Nachlaufz_Pumpe;1/15/1/120;/1/15/1/7/3/0
windhager.UMUMLZ.2_Altbau.unbekannt.Heizkreispumpe;1/15/1/122;/1/15/1/1/20/0
